,gaul_adm1_code,geob_adm1_shapeID
0,1205,ERI-ADM1-3_0_0-B1
1,1208,ERI-ADM1-3_0_0-B6
2,1211,ERI-ADM1-3_0_0-B5
3,1230,ETH-ADM1-3_0_0-B4
4,1232,ETH-ADM1-3_0_0-B6
5,1236,ETH-ADM1-3_0_0-B9
6,47678,ETH-ADM1-3_0_0-B8
7,47679,ETH-ADM1-3_0_0-B10
8,1093,DJI-ADM1-3_0_0-B4
9,1094,DJI-ADM1-3_0_0-B3
10,1095,DJI-ADM1-3_0_0-B6
11,1096,DJI-ADM1-3_0_0-B1
12,1097,DJI-ADM1-3_0_0-B2
13,2757,SDN-ADM1-3_0_0-B7
14,40772,SDN-ADM1-3_0_0-B11
15,68784,SDN-ADM1-3_0_0-B8
16,21970,RWA-ADM1-3_0_0-B4
17,2691,SOM-ADM1-3_0_0-B16
18,2695,SOM-ADM1-3_0_0-B1
19,1228,ETH-ADM1-3_0_0-B2
20,1229,ETH-ADM1-3_0_0-B3
21,1237,ETH-ADM1-3_0_0-B11
22,51325,KEN-ADM1-3_0_0-B37
23,51330,KEN-ADM1-3_0_0-B4
24,48359,TZA-ADM1-3_0_0-B19
25,48362,TZA-ADM1-3_0_0-B17
26,48372,TZA-ADM1-3_0_0-B22
27,48377,TZA-ADM1-3_0_0-B7
28,48379,TZA-ADM1-3_0_0-B20
29,48380,TZA-ADM1-3_0_0-B12
30,48382,TZA-ADM1-3_0_0-B23
31,115004,TZA-ADM1-3_0_0-B5
32,115006,TZA-ADM1-3_0_0-B29
33,115009,TZA-ADM1-3_0_0-B30
34,2690,SOM-ADM1-3_0_0-B17
35,2693,SOM-ADM1-3_0_0-B15
36,2700,SOM-ADM1-3_0_0-B11
37,2701,SOM-ADM1-3_0_0-B10
38,2702,SOM-ADM1-3_0_0-B2
39,2703,SOM-ADM1-3_0_0-B9
40,2704,SOM-ADM1-3_0_0-B4
41,48357,TZA-ADM1-3_0_0-B4
42,48358,TZA-ADM1-3_0_0-B10
43,48363,TZA-ADM1-3_0_0-B1
44,48365,TZA-ADM1-3_0_0-B3
45,48373,TZA-ADM1-3_0_0-B13
46,48381,TZA-ADM1-3_0_0-B18
47,2689,SOM-ADM1-3_0_0-B5
48,2694,SOM-ADM1-3_0_0-B6
49,2696,SOM-ADM1-3_0_0-B14
50,2698,SOM-ADM1-3_0_0-B12
51,1206,ERI-ADM1-3_0_0-B5
52,1207,ERI-ADM1-3_0_0-B3
53,51326,KEN-ADM1-3_0_0-B40
54,51327,KEN-ADM1-3_0_0-B38
55,51329,KEN-ADM1-3_0_0-B45
56,2688,SOM-ADM1-3_0_0-B18
57,2697,SOM-ADM1-3_0_0-B13
58,2699,SOM-ADM1-3_0_0-B7
59,2705,SOM-ADM1-3_0_0-B8
60,2747,SSD-ADM1-3_0_0-B6
61,2750,SSD-ADM1-3_0_0-B3
62,2751,SSD-ADM1-3_0_0-B8
63,2754,SSD-ADM1-3_0_0-B7
64,2765,SSD-ADM1-3_0_0-B10
65,37021,SSD-ADM1-3_0_0-B4
66,1227,ETH-ADM1-3_0_0-B1
67,1231,ETH-ADM1-3_0_0-B5
68,1233,ETH-ADM1-3_0_0-B7
69,2749,SDN-ADM1-3_0_0-B16
70,4150,SDN-ADM1-3_0_0-B2
71,2746,SSD-ADM1-3_0_0-B1
72,2748,SSD-ADM1-3_0_0-B2
73,2766,SSD-ADM1-3_0_0-B5
74,2768,SSD-ADM1-3_0_0-B9
75,21971,RWA-ADM1-3_0_0-B5
76,21972,RWA-ADM1-3_0_0-B2
77,21973,RWA-ADM1-3_0_0-B3
78,2745,SDN-ADM1-3_0_0-B13
79,2753,SDN-ADM1-3_0_0-B12
80,2761,SDN-ADM1-3_0_0-B5
81,2762,SDN-ADM1-3_0_0-B6
82,2764,SDN-ADM1-3_0_0-B1
83,2769,SDN-ADM1-3_0_0-B10
84,68783,SDN-ADM1-3_0_0-B4
85,68805,SDN-ADM1-3_0_0-B14
86,2770,SDN-ADM1-3_0_0-B15
87,2755,SDN-ADM1-3_0_0-B17
88,51332,KEN-ADM1-3_0_0-B18
89,51331,KEN-ADM1-3_0_0-B17
90,48367,TZA-ADM1-3_0_0-B6
91,115003,TZA-ADM1-3_0_0-B9
92,48375,TZA-ADM1-3_0_0-B14
93,115008,TZA-ADM1-3_0_0-B16
94,48368,TZA-ADM1-3_0_0-B15
95,48366,TZA-ADM1-3_0_0-B2
96,51328,KEN-ADM1-3_0_0-B16
97,2692,SOM-ADM1-3_0_0-B3
98,48378,TZA-ADM1-3_0_0-B24
99,48364,TZA-ADM1-3_0_0-B11
100,48369,TZA-ADM1-3_0_0-B8
